,perc,acc,per
0,0.005,0.7442266640791771,23.315773010253906
1,0.01,0.7465554046186688,23.354806900024414
2,0.015,0.7424801086745585,23.4186954498291
3,0.02,0.7448088492140501,23.43071937561035
4,0.025,0.7411216766931884,23.571819305419922
5,0.03,0.7450029109256744,23.614944458007812
6,0.035,0.7457791577721715,23.617095947265625
7,0.04,0.7436444789443043,23.640886306762695
8,0.045,0.74345041723268,23.661569595336914
9,0.05,0.7457791577721715,23.747949600219727
10,0.055,0.7426741703861828,23.718345642089844
11,0.06,0.7420919852513099,23.787628173828125
12,0.065,0.746749466330293,23.820777893066406
13,0.07,0.7420919852513099,23.848520278930664
14,0.075,0.7426741703861828,23.993467330932617
15,0.08,0.7420919852513099,24.037790298461914
16,0.085,0.7393751212885697,24.06114959716797
17,0.09,0.7415098001164371,24.144573211669922
18,0.095,0.7407335532699398,24.17037010192871
